file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.114.txt	-0.0136528297	0.0465116279	0.0753138075	0.0339622642	0.0183150183	0.0071942446	0.0035460993	0.0620155039	0.0878661088	0.0339622642	0.0146520147	0	0	-0.015503876	-0.0125523013	0	0.0036630037	0.0071942446	0.0035460993	0.030807177	0.0330826486	-0.0022754716
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.115.txt	-0.1088965448	0.0362318841	0.0569105691	0.0250896057	0.006779661	0	0	0.0434782609	0.1300813008	0.0501792115	0.0101694915	0	0	-0.0072463768	-0.0731707317	-0.0250896057	-0.0033898305	0	0	0.0208352867	0.0389847108	-0.0181494241
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.116.txt	-0.0158789764	0.0377358491	0.1074626866	0.0516795866	0.0099255583	0.0024570025	0	0.0503144654	0.0985074627	0.0490956072	0.0198511166	0.0073710074	0	-0.0125786164	0.0089552239	0.0025839793	-0.0099255583	-0.0049140049	0	0.0348767805	0.0375232766	-0.0026464961
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.117.txt	0.019184999	0.0375	0.0852713178	0.0416666667	0.0202702703	0.0066666667	0	0.0375	0.0930232558	0.0416666667	0	0	0	0	-0.007751938	0	0.0202702703	0.0066666667	0	0.0318958202	0.0286983204	0.0031974998
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.118.txt	0.0013162558	0.0374331551	0.0863509749	0.0420792079	0.0097799511	0.0024509804	0	0.0481283422	0.0891364903	0.0321782178	0.0073349633	0	0	-0.0106951872	-0.0027855153	0.0099009901	0.0024449878	0.0024509804	0	0.0296823782	0.0294630023	0.000219376
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.119.txt	-0.0286070683	0.0272108844	0.0721311475	0.0198863636	0	0	0	0.0408163265	0.0786885246	0.0255681818	0.0027624309	0	0	-0.0136054422	-0.006557377	-0.0056818182	-0.0027624309	0	0	0.0198713993	0.024639244	-0.0047678447
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.12.txt	-0.1458767969	0.012987013	0.0681818182	0.0314465409	0.0109289617	0	0	0.0519480519	0.0909090909	0.0943396226	0.0273224044	0.0049019608	0	-0.038961039	-0.0227272727	-0.0628930818	-0.0163934426	-0.0049019608	0	0.0205907223	0.0449035218	-0.0243127995
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.120.txt	-0.0546046136	0.0454545455	0.0649819495	0.0440251572	0.0117647059	0	0	0.053030303	0.0902527076	0.0628930818	0.0117647059	0.0028901734	0	-0.0075757576	-0.0252707581	-0.0188679245	0	-0.0028901734	0	0.027704393	0.0368051619	-0.0091007689
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.121.txt	-0.0194547406	0.0518518519	0.0909090909	0.0266666667	0.0126182965	0.003125	0	0.0740740741	0.0909090909	0.0333333333	0.0063091483	0	0	-0.0222222222	0	-0.0066666667	0.0063091483	0.003125	0	0.0308618177	0.0341042744	-0.0032424568
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.122.txt	-0.0901503247	0.0326086957	0.0529247911	0.0175879397	0.0024509804	0	0	0.0923913043	0.0807799443	0.0201005025	0.0024509804	0	0	-0.0597826087	-0.0278551532	-0.0025125628	0	0	0	0.0175954011	0.0326204553	-0.0150250541
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.123.txt	-0.0319893762	0.0365853659	0.0897832817	0.0403225806	0.0025974026	0	0	0.0304878049	0.0959752322	0.061827957	0.012987013	0	0	0.006097561	-0.0061919505	-0.0215053763	-0.0103896104	0	0	0.0282147718	0.0335463345	-0.0053315627
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.13.txt	-0.0781179957	0.0133333333	0.1014492754	0.0723684211	0.0320512821	0	0	0.0266666667	0.0942028986	0.1315789474	0.0448717949	0	0	-0.0133333333	0.0072463768	-0.0592105263	-0.0128205128	0	0	0.0365337186	0.0495533846	-0.0130196659
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.14.txt	-0.0794822889	0.0391304348	0.0696721311	0.0278810409	0.0054644809	0.0018115942	0	0.052173913	0.106557377	0.0483271375	0.014571949	0.0018115942	0	-0.0130434783	-0.0368852459	-0.0204460967	-0.0091074681	0	0	0.0239932803	0.0372403285	-0.0132470482
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.15.txt	-0.0990870521	0.0099009901	0.069124424	0.0540540541	0.0146520147	0.0035335689	0	0.0495049505	0.1013824885	0.0849420849	0.010989011	0.0035335689	0	-0.0396039604	-0.0322580645	-0.0308880309	0.0036630037	0	0	0.0252108419	0.0417253506	-0.0165145087
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.16.txt	-0.1319667456	0.025210084	0.0535714286	0.0671936759	0.0113636364	0.0036900369	0	0.0588235294	0.1205357143	0.0909090909	0.0227272727	0	0	-0.0336134454	-0.0669642857	-0.023715415	-0.0113636364	0.0036900369	0	0.0268381436	0.0488326012	-0.0219944576
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.17.txt	-0.1324272062	0.0177777778	0.0545073375	0.0559701493	0.0198555957	0.0017699115	0	0.0666666667	0.1236897275	0.0615671642	0.0180505415	0.0088495575	0.0034843206	-0.0488888889	-0.0691823899	-0.0055970149	0.0018050542	-0.007079646	-0.0034843206	0.0249801286	0.0470513297	-0.022071201
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.18.txt	-0.1575140006	0.0384615385	0.0339805825	0.0456431535	0.015503876	0	0	0.0384615385	0.1213592233	0.112033195	0.015503876	0.0037453184	0	0	-0.0873786408	-0.0663900415	0	-0.0037453184	0	0.0222648584	0.0485171919	-0.0262523334
bob_dylan.txt.tkzd.txt.POStagged.txt.lem.19.txt	-0.1440575434	0.0096153846	0.078817734	0.0344827586	0.0081632653	0	0	0.0673076923	0.118226601	0.0732758621	0.0163265306	0	0	-0.0576923077	-0.039408867	-0.0387931034	-0.0081632653	0	0	0.0218465238	0.0458561143	-0.0240095906
