contemptuous -2
contemptuously -2
contentious -2
contestable -2
controversial -2
controversially -2
cornered -2
costly -2
coward -2
cowardly -2
crash -2
crazier -2
craziest -2
crazy -2
crestfallen -2
cried -2
cries -2
critic -2
criticism -2
criticize -2
criticized -2
criticizes -2
criticizing -2
critics -2
crushed -2
crying -2
cynic -2
cynical -2
cynicism -2
danger -2
darkest -2
deadlock -2
death -2
debt -2
defeated -2
defenseless -2
deficit -2
degrade -2
degraded -2
degrades -2
dehumanize -2
dehumanized -2
dehumanizes -2
dehumanizing -2
deject -2
dejected -2
dejecting -2
dejects -2
demoralized -2
denied -2
denier -2
deniers -2
denies -2
denounce -2
denounces -2
deny -2
denying -2
depressed -2
depressing -2
derail -2
derailed -2
derails -2
deride -2
derided -2
derides -2
deriding -2
derision -2
detain -2
detained -2
detention -2
devastate -2
devastated -2
devastating -2
diffident -2
dirt -2
dirtier -2
dirtiest -2
dirty -2
disadvantage -2
disadvantaged -2
disappoint -2
disappointed -2
disappointing -2
disappointment -2
disappointments -2
disappoints -2
disaster -2
disasters -2
disbelieve -2
disconsolate -2
disconsolation -2
discontented -2
discord -2
discouraged -2
discredited -2
disdain -2
disgrace -2
disgraced -2
disheartened -2
dishonest -2
disillusioned -2
disinclined -2
disjointed -2
dislike -2
dismal -2
dismayed -2
disorder -2
disorganized -2
disoriented -2
disparage -2
disparaged -2
disparages -2
disparaging -2
displeased -2
dispute -2
disputed -2
disputes -2
disputing -2
disqualified -2
disquiet -2
disregard -2
disregarded -2
disregarding -2
disregards -2
disrespect -2
disrespected -2
disruption -2
disruptions -2
disruptive -2
dissatisfied -2
distort -2
distorted -2
distorting -2
distorts -2
distract -2
distracted -2
distraction -2
distracts -2
distress -2
distressed -2
distresses -2
distressing -2
disturb -2
disturbed -2
disturbing -2
disturbs -2
dithering -2
dodging -2
dodgy -2
dolorous -2
doom -2
doomed -2
downcast -2
downhearted -2
downside -2
drained -2
dread -2
dreaded -2
dreading -2
dreary -2
droopy -2
drown -2
drowned -2
drowns -2
drunk -2
dubious -2
dud -2
dull -2
dumped -2
dupe -2
duped -2
dysfunction -2
eerie -2
eery -2
embarrass -2
embarrassed -2
embarrasses -2
embarrassing -2
embarrassment -2
embittered -2
emergency -2
enemies -2
enemy -2
ennui -2
enrage -2
enraged -2
enrages -2
enraging -2
enslave -2
enslaved -2
enslaves -2
envious -2
erroneous -2
error -2
errors -2
exaggerate -2
exaggerated -2
exaggerates -2
exaggerating -2
excluded -2
exhausted -2
expel -2
expelled -2
expelling -2
expels -2
exploit -2
exploited -2
exploiting -2
exploits -2
fad -2
fail -2
failed -2
failing -2
fails -2
failure -2
failures -2
fainthearted -2
fallen -2
fascist -2
fascists -2
fatigue -2
fatigued -2
fatigues -2
fatiguing -2
fear -2
fearful -2
fearing -2
fearsome -2
feeble -2
fidgety -2
fire -2
fired -2
firing -2
flop -2
flops -2
flu -2
flustered -2
fool -2
foolish -2
fools -2
foreclosure -2
foreclosures -2
forgetful -2
fright -2
frightened -2
frikin -2
frustrate -2
frustrated -2
frustrates -2
frustrating -2
frustration -2
