file	total polar value	average polar value
ian_curtis35	-4	-0.2666666667
ian_curtis36	-13	-1.3
ian_curtis37	-1	-0.2
ian_curtis38	-7	-1.4
ian_curtis39	-13	-0.619047619
ian_curtis4	-2	-0.1
ian_curtis40	-18	-2.5714285714
ian_curtis5	13	0.7647058824
ian_curtis6	-9	-0.75
ian_curtis7	11	1
ian_curtis8	7	0.5
ian_curtis9	-17	-1.8888888889
kurt_cobain1	12	0.8
kurt_cobain10	28	1.5555555556
kurt_cobain11	28	2.8
kurt_cobain12	-3	-0.1666666667
kurt_cobain13	-4	-0.2352941176
kurt_cobain14	-26	-1.0833333333
kurt_cobain15	3	0.3
kurt_cobain16	-22	-0.9565217391
kurt_cobain17	-75	-3
kurt_cobain18	-20	-0.4761904762
kurt_cobain19	-1	-0.0294117647
kurt_cobain2	-27	-1.9285714286
kurt_cobain20	-3	-0.2727272727
kurt_cobain21	-19	-1.2666666667
kurt_cobain22	-7	-1.75
kurt_cobain23	-28	-0.9032258065
kurt_cobain24	2	0.6666666667
kurt_cobain25	-1	-0.0714285714
kurt_cobain26	5	0.2380952381
kurt_cobain27	0	0
kurt_cobain28	28	0.7368421053
kurt_cobain29	-19	-0.95
kurt_cobain3	14	1.1666666667
kurt_cobain30	3	0.09375
kurt_cobain31	4	0.125
kurt_cobain32	21	0.5526315789
kurt_cobain33	2	0.6666666667
kurt_cobain34	32	1.8823529412
kurt_cobain35	-15	-0.75
kurt_cobain36	-3	-0.25
kurt_cobain37	-13	-0.4642857143
kurt_cobain38	7	0.4666666667
kurt_cobain39	-23	-1.6428571429
kurt_cobain4	11	0.5238095238
kurt_cobain40	9	0.5625
kurt_cobain41	-2	-0.2222222222
kurt_cobain42	-21	-1.1666666667
kurt_cobain43	-2	-0.5
kurt_cobain44	-5	-0.25
kurt_cobain45	50	2
kurt_cobain46	-10	-1
kurt_cobain47	-11	-0.6470588235
kurt_cobain48	-12	-1.2
kurt_cobain49	-23	-1.2105263158
kurt_cobain5	19	1.2666666667
kurt_cobain50	1	0.0666666667
kurt_cobain51	-5	-0.3846153846
kurt_cobain52	7	0.4375
kurt_cobain53	13	0.3421052632
kurt_cobain6	7	0.7777777778
kurt_cobain7	-50	-1.1111111111
kurt_cobain8	-24	-1.6
kurt_cobain9	30	2.5
pete_ham1	14	1.0769230769
pete_ham10	23	1.7692307692
pete_ham11	-3	-0.375
pete_ham12	30	2
pete_ham13	-19	-1.0555555556
pete_ham14	5	0.5555555556
pete_ham15	6	0.4285714286
pete_ham16	15	1.6666666667
pete_ham17	16	1.6
pete_ham18	-7	-1.4
pete_ham19	6	0.4
pete_ham2	0	0
pete_ham20	3	0.1764705882
pete_ham21	-3	-0.2307692308
pete_ham22	3	1
pete_ham23	12	0.8
pete_ham24	2	0.2857142857
pete_ham25	2	1
pete_ham26	-6	-1.2
pete_ham27	6	0.375
pete_ham28	-23	-0.8518518519
pete_ham29	2	0.2
pete_ham3	-19	-1.1875
pete_ham30	31	1.0689655172
pete_ham31	22	1.0476190476
pete_ham32	-14	-0.3255813953
pete_ham33	9	0.4285714286
pete_ham34	-26	-1.4444444444
pete_ham4	12	1
pete_ham5	4	0.25
pete_ham6	7	0.4375
pete_ham7	-26	-1.3
pete_ham8	-2	-0.2222222222
pete_ham9	15	0.7894736842
phil_ochs1	-19	-0.8636363636
phil_ochs10	-6	-0.24
phil_ochs11	-28	-1.4
phil_ochs12	-10	-0.4761904762
phil_ochs13	4	2
phil_ochs14	7	0.1842105263
phil_ochs15	-9	-0.8181818182
phil_ochs16	-20	-0.6666666667
phil_ochs17	-1	-0.0454545455
phil_ochs18	-3	-0.1428571429
phil_ochs19	-29	-1.16
phil_ochs2	-8	-0.3636363636
phil_ochs20	2	0.1052631579
phil_ochs21	-16	-0.8
phil_ochs22	3	0.2
phil_ochs23	2	0.4
phil_ochs24	11	0.3666666667
phil_ochs25	-16	-1.6
phil_ochs26	-14	-0.7
phil_ochs27	24	1.6
phil_ochs28	-37	-1.48
phil_ochs29	6	2
phil_ochs3	-8	-0.8888888889
phil_ochs30	-28	-1.2727272727
phil_ochs31	-2	-0.1333333333
phil_ochs32	2	0.1333333333
phil_ochs33	8	1.3333333333
phil_ochs34	15	1.5
phil_ochs35	9	0.5294117647
phil_ochs36	15	0.5172413793
phil_ochs37	-10	-0.4761904762
phil_ochs38	5	1
phil_ochs39	-3	-0.125
phil_ochs4	-4	-0.1538461538
phil_ochs40	-10	-0.6666666667
phil_ochs41	-19	-0.6129032258
phil_ochs42	-23	-1.0952380952
phil_ochs43	-24	-0.6486486486
phil_ochs44	2	0.064516129
phil_ochs45	-8	-0.3636363636
phil_ochs46	-20	-0.6666666667
phil_ochs47	-6	-0.2608695652
phil_ochs48	-17	-0.8095238095
phil_ochs49	7	0.7
phil_ochs5	-6	-0.1621621622
phil_ochs50	-30	-0.75
phil_ochs51	1	0.0555555556
phil_ochs52	-5	-0.1515151515
phil_ochs53	-9	-0.4736842105
phil_ochs54	-12	-0.3870967742
phil_ochs6	-16	-0.5161290323
phil_ochs7	-5	-0.2631578947
phil_ochs8	-4	-0.3076923077
phil_ochs9	-56	-1.3658536585
