file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt	
ian_curtis.txt.tkzd.24.txt	0	7	1	11	10	0	1	0	6	8	2	4	
elliott_smith.txt.tkzd.30.txt	4	17	9	7	14	14	2	14	16	16	4	30	
ian_curtis.txt.tkzd.29.txt	1	6	3	6	49	0	1	0	1	48	2	49	
pete_ham.txt.tkzd.12.txt	3	24	18	13	15	31	0	29	4	6	12	41	
elliott_smith.txt.tkzd.26.txt	1	26	12	15	18	14	0	14	11	16	10	23	
ian_curtis.txt.tkzd.6.txt	8	27	24	18	4	8	4	7	8	33	17	28	
stuart_adamson.txt.tkzd.11.txt	2	79	27	26	16	29	0	28	20	60	49	49	
elliott_smith.txt.tkzd.21.txt	5	17	4	14	15	9	0	9	3	14	3	21	
stuart_adamson.txt.tkzd.4.txt	5	33	23	18	15	24	1	12	9	44	4	36	
elliott_smith.txt.tkzd.41.txt	1	12	13	2	4	13	0	13	3	13	2	21	
phil_ochs.txt.tkzd.7.txt	2	31	27	11	25	21	1	21	15	33	7	51	
phil_ochs.txt.tkzd.33.txt	2	14	18	28	6	37	1	30	4	25	13	45	
elliott_smith.txt.tkzd.93.txt	2	4	3	3	2	12	0	9	2	8	0	13	
