file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt
bob_dylan.txt.tkzd.49.txt	8	14	10	10	9	12	2	12	3	10	5	23
bob_dylan.txt.tkzd.5.txt	8	39	27	19	35	57	0	57	8	41	10	85
bob_dylan.txt.tkzd.50.txt	8	15	21	15	22	22	0	22	12	30	4	34
bob_dylan.txt.tkzd.51.txt	3	35	18	31	90	4	0	4	10	29	9	56
bob_dylan.txt.tkzd.52.txt	0	16	7	14	36	10	0	10	2	9	12	14
bob_dylan.txt.tkzd.53.txt	6	33	13	22	24	16	1	15	10	29	5	46
bob_dylan.txt.tkzd.54.txt	4	32	15	18	34	12	0	12	4	32	3	34
bob_dylan.txt.tkzd.55.txt	9	47	34	36	78	12	0	12	12	57	16	64
bob_dylan.txt.tkzd.56.txt	3	9	7	7	14	0	0	0	4	11	1	13
bob_dylan.txt.tkzd.57.txt	3	7	7	3	16	19	0	18	6	13	3	24
bob_dylan.txt.tkzd.58.txt	2	9	2	6	10	14	0	14	4	13	1	25
bob_dylan.txt.tkzd.59.txt	3	12	4	9	5	8	0	4	4	19	3	11
bob_dylan.txt.tkzd.6.txt	4	26	25	27	33	13	1	13	15	24	17	43
bob_dylan.txt.tkzd.60.txt	16	46	28	18	58	14	0	14	16	39	12	65
bob_dylan.txt.tkzd.61.txt	5	9	7	9	13	7	3	7	3	13	2	20
bob_dylan.txt.tkzd.62.txt	1	28	15	15	15	16	0	13	4	18	9	20
bob_dylan.txt.tkzd.63.txt	2	13	9	6	5	19	1	19	5	17	6	30
bob_dylan.txt.tkzd.64.txt	1	9	7	9	10	6	0	6	5	20	3	22
bob_dylan.txt.tkzd.65.txt	2	7	6	3	18	2	0	2	3	8	6	13
bob_dylan.txt.tkzd.66.txt	1	15	8	1	5	17	0	13	5	17	4	15
bob_dylan.txt.tkzd.67.txt	1	8	11	5	12	6	0	4	10	16	5	15
bob_dylan.txt.tkzd.68.txt	0	21	14	12	22	12	0	12	13	10	9	20
bob_dylan.txt.tkzd.69.txt	2	19	18	13	8	13	0	13	15	11	14	15
bob_dylan.txt.tkzd.7.txt	14	34	38	18	50	65	0	65	15	47	14	107
bob_dylan.txt.tkzd.70.txt	2	10	15	9	23	8	0	8	2	9	18	24
bob_dylan.txt.tkzd.71.txt	3	29	13	24	6	20	0	20	16	20	11	38
bob_dylan.txt.tkzd.72.txt	1	23	16	14	23	17	0	17	1	11	3	17
bob_dylan.txt.tkzd.73.txt	0	12	10	11	6	20	1	20	9	13	11	31
bob_dylan.txt.tkzd.74.txt	7	11	5	12	14	21	0	21	7	25	10	32
bob_dylan.txt.tkzd.75.txt	0	17	24	7	21	11	0	11	8	7	8	24
bob_dylan.txt.tkzd.76.txt	6	18	27	20	8	23	0	22	6	14	1	43
bob_dylan.txt.tkzd.77.txt	4	32	14	8	5	3	0	1	13	19	4	24
bob_dylan.txt.tkzd.78.txt	5	13	14	6	21	9	0	9	2	11	5	33
bob_dylan.txt.tkzd.79.txt	4	19	13	6	6	8	0	7	8	14	14	22
bob_dylan.txt.tkzd.8.txt	5	16	6	23	0	31	3	30	2	29	3	32
bob_dylan.txt.tkzd.80.txt	4	32	10	14	10	6	1	5	12	13	7	24
bob_dylan.txt.tkzd.81.txt	0	15	7	8	11	2	0	2	5	7	5	17
bob_dylan.txt.tkzd.82.txt	0	11	6	4	10	6	0	6	4	10	5	18
bob_dylan.txt.tkzd.83.txt	3	19	9	24	13	9	0	5	24	35	8	24
bob_dylan.txt.tkzd.84.txt	0	13	27	7	8	13	0	13	5	9	4	21
bob_dylan.txt.tkzd.85.txt	4	11	6	4	5	0	0	0	3	11	0	25
bob_dylan.txt.tkzd.86.txt	1	5	2	4	0	3	0	0	3	12	1	45
bob_dylan.txt.tkzd.87.txt	1	14	11	6	18	1	0	1	3	12	3	8
bob_dylan.txt.tkzd.88.txt	1	11	5	2	3	8	0	8	1	24	4	32
bob_dylan.txt.tkzd.89.txt	4	28	21	24	39	2	0	2	15	35	10	28
bob_dylan.txt.tkzd.9.txt	2	39	26	13	36	35	0	29	12	44	12	45
bob_dylan.txt.tkzd.90.txt	1	11	4	7	14	0	0	0	3	11	5	9
bob_dylan.txt.tkzd.91.txt	3	25	25	15	10	14	1	12	5	34	7	29
bob_dylan.txt.tkzd.92.txt	0	20	9	8	7	22	0	22	9	8	5	37
bob_dylan.txt.tkzd.93.txt	3	30	17	12	17	15	0	15	12	21	11	46
bob_dylan.txt.tkzd.94.txt	2	15	9	11	12	11	0	11	4	8	10	20
bob_dylan.txt.tkzd.95.txt	0	15	5	5	17	16	0	16	8	8	8	27
bob_dylan.txt.tkzd.96.txt	0	46	21	26	21	0	0	0	9	6	10	19
bob_dylan.txt.tkzd.97.txt	6	23	12	10	18	27	0	24	3	36	7	36
bob_dylan.txt.tkzd.98.txt	6	17	14	19	26	13	0	13	16	13	7	28
bob_dylan.txt.tkzd.99.txt	1	4	9	6	9	6	1	6	3	10	3	12
bob_marley.txt.tkzd.1.txt	0	25	4	21	42	3	0	3	8	31	10	24
bob_marley.txt.tkzd.10.txt	1	12	7	23	13	9	0	7	8	36	1	40
bob_marley.txt.tkzd.11.txt	0	20	26	79	52	25	0	7	7	33	47	11
bob_marley.txt.tkzd.12.txt	2	51	29	60	41	14	0	13	0	42	50	23
bob_marley.txt.tkzd.13.txt	4	31	12	28	17	24	0	24	15	37	60	45
bob_marley.txt.tkzd.14.txt	4	19	11	67	3	38	3	0	53	107	49	4
bob_marley.txt.tkzd.15.txt	9	15	6	10	26	24	0	24	3	48	26	25
bob_marley.txt.tkzd.16.txt	3	73	22	62	29	10	0	2	14	129	6	17
bob_marley.txt.tkzd.17.txt	4	17	8	36	16	47	0	47	23	21	13	63
bob_marley.txt.tkzd.18.txt	4	21	15	28	12	17	0	8	7	33	5	27
bob_marley.txt.tkzd.19.txt	0	19	15	13	25	9	2	4	7	30	2	21
bob_marley.txt.tkzd.2.txt	5	22	11	26	35	24	0	23	16	37	27	54
bob_marley.txt.tkzd.20.txt	4	28	7	26	10	31	0	25	1	22	1	11
bob_marley.txt.tkzd.21.txt	2	13	6	18	17	15	1	13	17	41	10	54
bob_marley.txt.tkzd.22.txt	0	26	7	21	22	22	0	22	1	49	12	25
bob_marley.txt.tkzd.23.txt	8	27	8	15	13	4	1	3	6	33	4	38
bob_marley.txt.tkzd.24.txt	0	9	25	16	15	17	0	17	0	36	1	13
bob_marley.txt.tkzd.25.txt	3	28	6	25	22	5	0	5	6	15	3	28
bob_marley.txt.tkzd.26.txt	2	31	11	30	10	6	3	6	31	23	17	23
bob_marley.txt.tkzd.27.txt	2	27	26	88	32	8	0	8	17	62	9	27
bob_marley.txt.tkzd.28.txt	0	8	10	25	19	2	0	2	3	21	0	10
bob_marley.txt.tkzd.29.txt	0	34	5	17	21	1	0	1	8	42	4	42
bob_marley.txt.tkzd.3.txt	10	18	12	23	13	7	0	7	0	17	7	8
bob_marley.txt.tkzd.30.txt	1	32	5	51	11	21	0	3	2	47	3	11
bob_marley.txt.tkzd.31.txt	0	46	23	17	25	52	0	21	9	60	20	36
bob_marley.txt.tkzd.32.txt	1	75	81	17	26	76	0	76	11	39	19	93
bob_marley.txt.tkzd.33.txt	18	57	29	18	21	27	0	24	14	27	19	29
bob_marley.txt.tkzd.34.txt	0	15	27	2	2	6	0	6	10	27	11	17
bob_marley.txt.tkzd.35.txt	1	42	40	25	5	6	1	6	15	47	38	30
bob_marley.txt.tkzd.36.txt	5	77	44	25	12	43	10	30	6	34	42	49
bob_marley.txt.tkzd.37.txt	4	68	44	35	39	59	0	58	4	31	34	41
bob_marley.txt.tkzd.38.txt	2	10	8	11	47	23	1	21	6	6	5	16
bob_marley.txt.tkzd.39.txt	15	38	15	22	24	39	0	39	7	28	4	34
bob_marley.txt.tkzd.4.txt	8	24	23	16	25	26	0	26	6	2	12	24
bob_marley.txt.tkzd.40.txt	0	59	12	38	44	1	0	1	22	56	7	28
bob_marley.txt.tkzd.41.txt	4	20	13	16	67	11	1	11	56	29	0	45
bob_marley.txt.tkzd.42.txt	12	39	2	52	29	4	0	4	12	22	9	52
bob_marley.txt.tkzd.5.txt	2	24	11	20	17	7	0	7	8	7	0	16
bob_marley.txt.tkzd.6.txt	4	8	17	16	0	18	0	18	4	12	13	35
bob_marley.txt.tkzd.7.txt	5	25	14	12	27	18	0	17	6	17	6	27
bob_marley.txt.tkzd.8.txt	1	24	16	14	26	6	1	6	12	33	8	37
bob_marley.txt.tkzd.9.txt	6	34	20	19	8	24	0	24	14	15	15	33
fiona_apple.txt.tkzd.1.txt	16	49	21	25	29	44	3	44	14	35	18	54
fiona_apple.txt.tkzd.10.txt	0	21	11	15	14	20	0	20	0	21	2	29
fiona_apple.txt.tkzd.11.txt	8	27	30	17	15	24	2	24	11	33	17	49
fiona_apple.txt.tkzd.12.txt	3	11	4	12	11	7	0	7	3	10	1	14
fiona_apple.txt.tkzd.13.txt	13	43	29	24	35	34	1	33	19	35	21	67
fiona_apple.txt.tkzd.14.txt	7	9	6	8	7	18	0	18	3	12	5	23
fiona_apple.txt.tkzd.15.txt	2	40	28	19	27	31	0	31	6	33	12	25
fiona_apple.txt.tkzd.16.txt	18	53	39	31	14	50	0	50	11	51	25	65
fiona_apple.txt.tkzd.17.txt	1	31	30	20	25	27	2	27	9	35	19	34
fiona_apple.txt.tkzd.18.txt	2	20	15	12	11	16	0	15	5	17	13	16
fiona_apple.txt.tkzd.19.txt	1	27	13	18	33	33	0	33	7	26	17	39
