index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
92	Bob Dylan	0	20	9	8	7	22	0	22	9	8	5	37
93	Bob Dylan	3	30	17	12	17	15	0	15	12	21	11	46
94	Bob Dylan	2	15	9	11	12	11	0	11	4	8	10	20
95	Bob Dylan	0	15	5	5	17	16	0	16	8	8	8	27
96	Bob Dylan	0	46	21	26	21	0	0	0	9	6	10	19
97	Bob Dylan	6	23	12	10	18	27	0	24	3	36	7	36
98	Bob Dylan	6	17	14	19	26	13	0	13	16	13	7	28
99	Bob Dylan	1	4	9	6	9	6	1	6	3	10	3	12
100	Bob Dylan	3	36	38	42	38	42	2	39	30	31	21	51
101	Bob Dylan	0	15	8	12	12	3	0	3	3	15	2	39
102	Bob Dylan	0	14	13	6	13	11	0	11	2	15	10	22
103	Bob Dylan	3	38	18	25	49	23	1	23	15	37	14	56
104	Bob Dylan	7	21	24	21	12	35	0	34	11	28	8	46
105	Bob Dylan	5	12	9	7	10	20	1	20	11	18	3	40
106	Bob Dylan	6	47	35	17	46	46	0	46	11	71	31	103
107	Bob Dylan	15	26	11	14	27	24	1	23	16	26	11	49
108	Bob Dylan	0	21	10	7	4	28	1	14	5	27	2	31
109	Bob Dylan	0	8	4	4	7	8	1	5	1	14	5	24
110	Bob Dylan	2	3	4	5	6	10	0	10	1	9	5	13
111	Bob Dylan	13	51	31	33	38	60	1	57	17	44	8	104
112	Bob Dylan	3	33	17	12	11	21	1	21	13	23	10	24
113	Bob Dylan	17	31	26	19	29	56	1	55	9	40	7	91
114	Bob Dylan	1	25	12	10	30	0	1	0	11	22	19	26
115	Bob Dylan	9	23	13	17	53	0	0	0	9	29	4	44
116	Bob Dylan	3	30	21	16	32	25	0	17	10	56	7	51
117	Bob Dylan	3	11	6	4	6	14	0	13	4	20	3	25
118	Bob Dylan	5	21	17	11	19	16	0	16	12	28	10	55
119	Bob Dylan	1	24	21	7	45	0	4	0	11	39	13	46
120	Bob Dylan	3	31	22	19	19	30	0	30	13	10	10	43
121	Bob Dylan	3	41	12	26	19	2	0	0	12	18	32	60
122	Bob Dylan	4	29	19	21	29	0	3	0	15	32	11	68
123	Bob Dylan	6	29	10	31	13	34	0	31	18	43	11	64
1	Bob Marley	0	25	4	21	42	3	0	3	8	31	10	24
2	Bob Marley	5	22	11	26	35	24	0	23	16	37	27	54
3	Bob Marley	10	18	12	23	13	7	0	7	0	17	7	8
4	Bob Marley	8	24	23	16	25	26	0	26	6	2	12	24
5	Bob Marley	2	24	11	20	17	7	0	7	8	7	0	16
6	Bob Marley	4	8	17	16	0	18	0	18	4	12	13	35
7	Bob Marley	5	25	14	12	27	18	0	17	6	17	6	27
8	Bob Marley	1	24	16	14	26	6	1	6	12	33	8	37
9	Bob Marley	6	34	20	19	8	24	0	24	14	15	15	33
10	Bob Marley	1	12	7	23	13	9	0	7	8	36	1	40
11	Bob Marley	0	20	26	79	52	25	0	7	7	33	47	11
12	Bob Marley	2	51	29	60	41	14	0	13	0	42	50	23
13	Bob Marley	4	31	12	28	17	24	0	24	15	37	60	45
14	Bob Marley	4	19	11	67	3	38	3	0	53	107	49	4
15	Bob Marley	9	15	6	10	26	24	0	24	3	48	26	25
16	Bob Marley	3	73	22	62	29	10	0	2	14	129	6	17
17	Bob Marley	4	17	8	36	16	47	0	47	23	21	13	63
18	Bob Marley	4	21	15	28	12	17	0	8	7	33	5	27
19	Bob Marley	0	19	15	13	25	9	2	4	7	30	2	21
20	Bob Marley	4	28	7	26	10	31	0	25	1	22	1	11
21	Bob Marley	2	13	6	18	17	15	1	13	17	41	10	54
22	Bob Marley	0	26	7	21	22	22	0	22	1	49	12	25
23	Bob Marley	8	27	8	15	13	4	1	3	6	33	4	38
24	Bob Marley	0	9	25	16	15	17	0	17	0	36	1	13
25	Bob Marley	3	28	6	25	22	5	0	5	6	15	3	28
26	Bob Marley	2	31	11	30	10	6	3	6	31	23	17	23
27	Bob Marley	2	27	26	88	32	8	0	8	17	62	9	27
28	Bob Marley	0	8	10	25	19	2	0	2	3	21	0	10
29	Bob Marley	0	34	5	17	21	1	0	1	8	42	4	42
30	Bob Marley	1	32	5	51	11	21	0	3	2	47	3	11
31	Bob Marley	0	46	23	17	25	52	0	21	9	60	20	36
32	Bob Marley	1	75	81	17	26	76	0	76	11	39	19	93
33	Bob Marley	18	57	29	18	21	27	0	24	14	27	19	29
34	Bob Marley	0	15	27	2	2	6	0	6	10	27	11	17
35	Bob Marley	1	42	40	25	5	6	1	6	15	47	38	30
36	Bob Marley	5	77	44	25	12	43	10	30	6	34	42	49
37	Bob Marley	4	68	44	35	39	59	0	58	4	31	34	41
38	Bob Marley	2	10	8	11	47	23	1	21	6	6	5	16
39	Bob Marley	15	38	15	22	24	39	0	39	7	28	4	34
40	Bob Marley	0	59	12	38	44	1	0	1	22	56	7	28
41	Bob Marley	4	20	13	16	67	11	1	11	56	29	0	45
42	Bob Marley	12	39	2	52	29	4	0	4	12	22	9	52
1	Fiona Apple	16	49	21	25	29	44	3	44	14	35	18	54
2	Fiona Apple	0	19	16	17	24	34	0	34	5	35	2	37
3	Fiona Apple	4	25	22	12	39	20	0	20	9	15	7	33
4	Fiona Apple	3	17	8	14	7	25	1	25	6	14	4	27
5	Fiona Apple	0	33	25	23	20	29	3	27	13	31	18	41
6	Fiona Apple	9	22	11	16	27	31	0	23	4	24	5	20
7	Fiona Apple	3	29	20	27	28	47	0	47	20	32	7	64
8	Fiona Apple	4	24	18	15	18	23	2	23	5	17	7	22
9	Fiona Apple	6	63	7	28	30	22	0	9	18	35	37	16
10	Fiona Apple	0	21	11	15	14	20	0	20	0	21	2	29
11	Fiona Apple	8	27	30	17	15	24	2	24	11	33	17	49
12	Fiona Apple	3	11	4	12	11	7	0	7	3	10	1	14
13	Fiona Apple	13	43	29	24	35	34	1	33	19	35	21	67
14	Fiona Apple	7	9	6	8	7	18	0	18	3	12	5	23
15	Fiona Apple	2	40	28	19	27	31	0	31	6	33	12	25
16	Fiona Apple	18	53	39	31	14	50	0	50	11	51	25	65
17	Fiona Apple	1	31	30	20	25	27	2	27	9	35	19	34
18	Fiona Apple	2	20	15	12	11	16	0	15	5	17	13	16
19	Fiona Apple	1	27	13	18	33	33	0	33	7	26	17	39
20	Fiona Apple	3	18	14	8	4	21	0	21	10	23	7	25
21	Fiona Apple	3	17	12	7	11	19	0	19	4	14	9	27
22	Fiona Apple	6	30	29	18	15	26	1	25	31	9	16	33
23	Fiona Apple	7	31	6	46	18	36	1	36	5	24	16	32
24	Fiona Apple	2	47	49	11	29	32	1	32	5	24	33	23
25	Fiona Apple	5	16	23	16	35	32	0	32	17	42	16	36
26	Fiona Apple	5	16	14	11	17	22	1	19	6	20	7	35
