file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.20.txt	-0.0324973877	0.0142857143	0.0873015873	0.0689655172	0.0194805195	0	0	0.0428571429	0.1111111111	0.0620689655	0.0064935065	0	0	-0.0285714286	-0.0238095238	0.0068965517	0.012987013	0	0	0.0316722231	0.0370884543	-0.0054162313
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.21.txt	-0.0113094017	0.0322580645	0.0410958904	0.0584415584	0.0189873418	0.0062111801	0	0.0215053763	0.0821917808	0.0519480519	0.0126582278	0	0	0.0107526882	-0.0410958904	0.0064935065	0.0063291139	0.0062111801	0	0.0261656725	0.0280505728	-0.0018849003
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.22.txt	0.025526632	0.0447761194	0.0377358491	0.0446428571	0.0170940171	0	0	0	0.0566037736	0.0535714286	0.0085470085	0	0	0.0447761194	-0.0188679245	-0.0089285714	0.0085470085	0	0	0.0240414738	0.0197870351	0.0042544387
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.23.txt	-0.1607920707	0.023255814	0.0890410959	0.0566037736	0.0303030303	0.005988024	0	0.0348837209	0.1506849315	0.1320754717	0.0363636364	0.0119760479	0	-0.011627907	-0.0616438356	-0.0754716981	-0.0060606061	-0.005988024	0	0.0341986229	0.0609973014	-0.0267986785
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.24.txt	-0.1087081679	0.0735294118	0.128440367	0.0504201681	0	0	0	0.0735294118	0.1376146789	0.1008403361	0.0409836066	0.0081300813	0	0	-0.0091743119	-0.0504201681	-0.0409836066	-0.0081300813	0	0.0420649911	0.0601830191	-0.018118028
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.25.txt	0.1254776186	0.0617283951	0.1417322835	0.0791366906	0.0344827586	0.0205479452	0	0.0617283951	0.0866141732	0.0431654676	0.0137931034	0.0068493151	0	0	0.0551181102	0.035971223	0.0206896552	0.0136986301	0	0.0562713455	0.0353584091	0.0209129364
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.26.txt	-0.1076564971	0	0.0731707317	0.037593985	0.0144927536	0.0070921986	0	0	0.1138211382	0.0827067669	0.0434782609	0	0	0	-0.0406504065	-0.045112782	-0.0289855072	0.0070921986	0	0.0220582781	0.0400010277	-0.0179427495
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.27.txt	0.0133409881	0.0518518519	0.0848214286	0.0209205021	0.0041493776	0.0041322314	0	0.0518518519	0.0714285714	0.0251046025	0.0041493776	0	0	0	0.0133928571	-0.0041841004	0	0.0041322314	0	0.0276458986	0.0254224006	0.002223498
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.28.txt	-0.0098175153	0.05	0.0337078652	0.0212765957	0	0	0	0.0166666667	0.0449438202	0.0531914894	0	0	0	0.0333333333	-0.0112359551	-0.0319148936	0	0	0	0.0174974102	0.0191336627	-0.0016362526
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.29.txt	-0.0792030949	0.0701754386	0.075	0.0119047619	0	0	0	0.0526315789	0.1125	0.0595238095	0.011627907	0	0	0.0175438596	-0.0375	-0.0476190476	-0.011627907	0	0	0.0261800334	0.0393805492	-0.0132005158
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.3.txt	-0.019801507	0.0113636364	0.0902777778	0.0592105263	0	0	0	0.0113636364	0.1041666667	0.0460526316	0.0128205128	0.00625	0	0	-0.0138888889	0.0131578947	-0.0128205128	-0.00625	0	0.0268086567	0.0301089079	-0.0033002512
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.30.txt	-0.0352642613	0.0333333333	0.0314465409	0.0877192982	0.0287356322	0	0	0.0111111111	0.1006289308	0.0760233918	0.0287356322	0	0	0.0222222222	-0.0691823899	0.0116959064	0	0	0	0.0302058008	0.0360831777	-0.0058773769
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.31.txt	-0.0130961139	0.0263157895	0.1048387097	0.0757575758	0.0145985401	0	0	0.0657894737	0.0725806452	0.0454545455	0.0364963504	0.0142857143	0	-0.0394736842	0.0322580645	0.0303030303	-0.0218978102	-0.0142857143	0	0.0369184358	0.0391011215	-0.0021826856
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.32.txt	-0.0745883997	0.0487804878	0.072	0.023255814	0.0152671756	0	0	0.0609756098	0.088	0.0620155039	0.0229007634	0	0	-0.012195122	-0.016	-0.0387596899	-0.0076335878	0	0	0.0265505796	0.0389819795	-0.0124313999
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.33.txt	0.0176381942	0.0930232558	0.078125	0.0287769784	0.006993007	0.0068965517	0	0.0465116279	0.078125	0.0575539568	0.013986014	0	0	0.0465116279	0	-0.0287769784	-0.006993007	0.0068965517	0	0.0356357988	0.0326960998	0.002939699
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.34.txt	-0.0068343152	0.0208333333	0.0709677419	0.0479041916	0.0116959064	0	0	0.0520833333	0.064516129	0.0299401198	0.0116959064	0	0	-0.03125	0.0064516129	0.0179640719	0	0	0	0.0252335289	0.0263725814	-0.0011390525
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.35.txt	0.0158865043	0.0298507463	0.0917431193	0.0172413793	0.0084745763	0	0	0.0149253731	0.0733944954	0.0431034483	0	0	0	0.0149253731	0.0183486239	-0.025862069	0.0084745763	0	0	0.0245516369	0.0219038861	0.0026477507
