% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0.0114285714,0.036036036,0.0136054422,0.0340136054,0.2702702703,-0.1089880422,0.0849420849,0.010989011,-0.0495049505,0.0441435648,-0.0181646737,0.0188679245
non-suicide,0.0034965035,0.0075757576,0.0053475936,0.0213903743,0.1060606061,-0.1443091826,0.0909090909,0.0227272727,-0.0504201681,0.0516337217,-0.0240515304,0.039039039
non-suicide,0.0234741784,0.0609756098,0.0352941176,0.0094117647,0.2479674797,-0.1481085479,0.0615671642,0.0180505415,-0.0666666667,0.0507550334,-0.024684758,0.0780619112
non-suicide,0,0,0,0.012605042,0.1081081081,-0.1863601545,0.112033195,0.015503876,-0.0288461538,0.0541339456,-0.0310600257,0.0594059406
non-suicide,0.0074074074,0.0172413793,0.0068493151,0.0102739726,0.0775862069,-0.1536729281,0.0732758621,0.0163265306,-0.0673076923,0.0474586784,-0.0256121547,0.0641025641
non-suicide,0,0,0,0.0257731959,0.1914893617,-0.0132880105,0.0742857143,0.0109289617,-0.0444444444,0.0416240984,-0.0022146684,0.0652173913
non-suicide,0.009771987,0.0283018868,0.0157894737,0,0.1603773585,-0.195486519,0.1458333333,0.0694980695,0.0106382979,0.0666970143,-0.0325810865,0.0207100592
non-suicide,0,0,0,0.0066225166,0.1363636364,-0.1670261678,0.1095890411,0.0265486726,-0.0283018868,0.052868213,-0.0278376946,0.0224719101
non-suicide,0.0036101083,0.0070921986,0.0033670034,0.0134680135,0.1205673759,-0.1384368464,0.0711743772,0.024137931,-0.0396825397,0.0493149181,-0.0230728077,0.0458715596
non-suicide,0,0,0,0.0181818182,0.0729927007,-0.1063346933,0.071875,0.0214067278,0,0.0483400048,-0.0177224489,0.0207715134
non-suicide,0,0,0,0.0465116279,0.1604938272,-0.1103748548,0.1069518717,0.0288461538,-0.0512820513,0.048381529,-0.0183958091,0.030075188
non-suicide,0.0017953321,0.0050251256,0.0014641288,0.0073206442,0.1256281407,-0.0396723399,0.0281030445,0.0044444444,-0.0053475936,0.037312084,-0.0066120566,0.0570032573
non-suicide,0.0048465267,0.0106007067,0.0087719298,0.0204678363,0.0954063604,-0.1711979605,0.0834575261,0.0160116448,-0.0418250951,0.0532045879,-0.0285329934,0.0830985915
non-suicide,0.0070422535,0.0125,0.0077220077,0.0077220077,0.075,0.0042319502,0.0421052632,0.0102389078,0.0519480519,0.0290467667,0.000705325,0.1150159744
non-suicide,0.0043668122,0.0085470085,0.0036231884,0.0072463768,0.2051282051,-0.062570346,0.0722891566,0.0308880309,-0.0091743119,0.0460674795,-0.010428391,0.0892193309
non-suicide,0.0014367816,0.0032154341,0.0021367521,0.0106837607,0.1639871383,-0.1093384655,0.0627802691,0.011627907,-0.0144404332,0.0456729566,-0.0182230776,0.1009055627
non-suicide,0,0,0,0.0277777778,0.1651376147,0.001861369,0.0454545455,0.0097560976,0.0095238095,0.0360156171,0.0003102282,0.0327102804
non-suicide,0.003236246,0.0067567568,0.0051282051,0.0102564103,0.1216216216,-0.0003693516,0.0577617329,0.027972028,0,0.0399822256,-6.15586002116E-005,0.0341880342
non-suicide,0.0113636364,0.0224719101,0.0076335878,0.0076335878,0.1123595506,-0.0706007215,0.0675675676,0.0191082803,0.0114942529,0.0361244736,-0.0117667869,0.0853080569
non-suicide,0.0043336945,0.0106666667,0.0075329567,0.0018832392,0.112,-0.1243924856,0.0480668757,0.0109780439,-0.0234604106,0.0441881595,-0.0207320809,0.108365019
non-suicide,0.00390625,0.0072992701,0.0034602076,0.0207612457,0.1459854015,-0.1404976542,0.0714285714,0.0141843972,-0.0158730159,0.0496484418,-0.0234162757,0.0484429066
non-suicide,0.0108225108,0.0242718447,0.0165562914,0.0529801325,0.0485436893,-0.0072642296,0.0441176471,0.0047505938,-0.0104166667,0.0316598378,-0.0012107049,0.0742659758
non-suicide,0.0057142857,0.0112359551,0.004950495,0.0148514851,0.202247191,-0.1976600449,0.0687830688,0.0253807107,-0.0555555556,0.0533463069,-0.0329433408,0.0528846154
